ticket_id,bol_ts,terminal_code,sold_to_id,payer_id,bill_to_id,product_code,gallons_net,gallons_gross,temperature_f,status
BOL-2026-000016,2026-06-13 08:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6818.6,6901.9,77.7,delivered
BOL-2026-000017,2026-07-07 21:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4681.0,4754.3,82.7,delivered
BOL-2026-000018,2026-07-21 12:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4538.7,4637.7,91.6,delivered
BOL-2026-000019,2026-07-30 09:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4910.0,4969.0,86.7,delivered
BOL-2026-000020,2026-07-30 11:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6994.5,7112.7,84.5,delivered
BOL-2026-000021,2026-06-09 12:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5189.5,5258.6,79.3,delivered
BOL-2026-000022,2026-07-12 12:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4504.7,4544.6,79.7,delivered
BOL-2026-000023,2026-06-16 09:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6232.5,6324.5,92.8,delivered
BOL-2026-000024,2026-06-14 08:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6208.2,6343.1,91.5,delivered
BOL-2026-000025,2026-07-31 08:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7905.2,8014.3,80.0,delivered
BOL-2026-000026,2026-07-02 18:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8170.0,8308.7,84.6,delivered
BOL-2026-000027,2026-07-08 06:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8366.7,8503.0,96.2,delivered
BOL-2026-000028,2026-06-12 20:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4452.1,4523.1,83.1,delivered
BOL-2026-000029,2026-06-20 19:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8480.3,8640.0,87.3,delivered
BOL-2026-000030,2026-06-12 14:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6531.4,6625.5,92.0,delivered
BOL-2026-000031,2026-07-09 21:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4544.5,4602.5,78.5,delivered
BOL-2026-000032,2026-07-14 12:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5258.7,5361.4,88.3,delivered
BOL-2026-000033,2026-07-01 21:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7279.6,7344.1,79.7,delivered
BOL-2026-000034,2026-07-14 14:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4511.9,4589.7,85.0,delivered
BOL-2026-000035,2026-07-31 07:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8213.0,8411.9,95.1,delivered
BOL-2026-000036,2026-06-27 10:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6830.2,6946.1,97.7,delivered
BOL-2026-000037,2026-06-01 14:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5337.2,5467.6,95.4,delivered
BOL-2026-000038,2026-06-12 14:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7156.2,7326.6,94.5,delivered
BOL-2026-000039,2026-06-19 06:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4389.6,4433.1,82.0,delivered
BOL-2026-000040,2026-07-30 10:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6611.9,6688.1,76.7,delivered
BOL-2026-000041,2026-07-15 09:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6575.9,6686.2,84.3,quality_hold
BOL-2026-000042,2026-06-27 06:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4642.0,4746.7,92.7,delivered
BOL-2026-000043,2026-06-30 09:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7686.3,7808.1,95.2,quality_hold
BOL-2026-000044,2026-07-17 15:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7686.2,7756.8,80.4,delivered
BOL-2026-000045,2026-06-08 06:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6179.3,6270.1,81.3,delivered
BOL-2026-000046,2026-06-17 05:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7916.7,8119.9,97.2,delivered
BOL-2026-000047,2026-07-12 17:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8238.7,8301.0,76.8,delivered
BOL-2026-000048,2026-06-13 13:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7332.7,7441.5,81.5,delivered
BOL-2026-000049,2026-07-05 17:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6075.0,6186.1,86.5,delivered
BOL-2026-000050,2026-07-15 11:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8159.3,8322.6,89.0,delivered
BOL-2026-000051,2026-06-09 14:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5930.3,6016.6,81.1,delivered
BOL-2026-000052,2026-07-01 17:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6647.2,6718.1,83.7,delivered
BOL-2026-000053,2026-06-22 11:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5585.7,5647.5,84.6,delivered
BOL-2026-000054,2026-07-05 10:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6921.6,7026.7,82.0,delivered
BOL-2026-000055,2026-07-18 14:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4398.7,4473.1,97.6,delivered
BOL-2026-000056,2026-07-19 19:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7288.9,7365.0,83.2,delivered
BOL-2026-000057,2026-06-11 05:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7657.7,7763.5,90.7,delivered
BOL-2026-000058,2026-07-08 08:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6483.9,6606.5,87.4,delivered
BOL-2026-000059,2026-07-18 19:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6035.0,6132.2,95.8,delivered
BOL-2026-000060,2026-06-12 20:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6941.9,7097.1,92.4,delivered
BOL-2026-000061,2026-07-12 13:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5368.4,5448.8,81.7,delivered
BOL-2026-000062,2026-06-10 12:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4476.2,4524.1,83.8,delivered
BOL-2026-000063,2026-06-30 11:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8268.1,8350.8,74.5,delivered
BOL-2026-000064,2026-07-09 20:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5876.9,5970.5,95.4,delivered
BOL-2026-000065,2026-07-07 12:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4324.8,4390.7,82.1,delivered
BOL-2026-000066,2026-06-30 10:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6496.7,6601.4,95.8,delivered
BOL-2026-000067,2026-07-14 07:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4981.4,5050.8,80.2,delivered
BOL-2026-000068,2026-07-02 15:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6012.7,6153.8,94.0,delivered
BOL-2026-000069,2026-07-18 06:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8316.3,8402.4,75.0,quality_hold
BOL-2026-000070,2026-06-18 05:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7078.7,7213.0,87.5,delivered
BOL-2026-000071,2026-07-16 16:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7288.9,7396.2,92.7,delivered
BOL-2026-000072,2026-06-23 05:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5813.8,5960.6,96.6,delivered
BOL-2026-000073,2026-07-10 12:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7142.3,7249.3,93.3,delivered
BOL-2026-000074,2026-07-08 06:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4496.5,4588.0,89.5,quality_hold
BOL-2026-000075,2026-07-01 20:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8033.8,8172.4,85.0,delivered
BOL-2026-000076,2026-06-13 21:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6514.1,6629.2,85.6,delivered
BOL-2026-000077,2026-07-17 13:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4572.7,4645.1,95.2,delivered
BOL-2026-000078,2026-07-03 17:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4981.9,5047.6,79.1,delivered
BOL-2026-000079,2026-06-25 13:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4568.1,4666.8,91.3,delivered
BOL-2026-000080,2026-07-19 20:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4274.1,4314.7,81.1,delivered
BOL-2026-000081,2026-06-18 16:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8485.5,8644.8,87.2,delivered
BOL-2026-000082,2026-07-02 14:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5556.9,5678.8,91.8,delivered
BOL-2026-000083,2026-07-15 11:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6735.2,6832.8,92.2,delivered
BOL-2026-000084,2026-07-30 11:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4260.8,4339.6,86.8,delivered
BOL-2026-000085,2026-07-30 14:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7437.0,7492.2,76.5,quality_hold
BOL-2026-000086,2026-06-21 20:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5285.7,5412.3,94.7,delivered
BOL-2026-000087,2026-06-05 20:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4852.4,4964.6,93.5,delivered
BOL-2026-000088,2026-06-07 12:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6763.3,6897.7,88.8,delivered
BOL-2026-000089,2026-06-28 19:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5513.1,5584.8,88.9,delivered
BOL-2026-000090,2026-07-18 11:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4875.3,4936.5,78.2,delivered
BOL-2026-000091,2026-06-01 19:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5195.3,5306.4,91.0,delivered
BOL-2026-000092,2026-07-02 12:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7043.1,7158.5,96.4,delivered
BOL-2026-000093,2026-07-07 09:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4913.5,4960.8,81.4,delivered
BOL-2026-000094,2026-07-09 14:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7208.9,7391.0,96.6,delivered
BOL-2026-000095,2026-07-05 07:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5586.0,5663.1,80.0,delivered
BOL-2026-000096,2026-07-29 05:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7481.4,7542.7,78.2,delivered
BOL-2026-000097,2026-07-02 13:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7701.3,7830.6,97.3,delivered
BOL-2026-000098,2026-06-30 15:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5970.1,6076.8,85.9,delivered
BOL-2026-000099,2026-06-29 06:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4698.5,4803.9,92.5,delivered
BOL-2026-000100,2026-07-22 05:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4433.1,4485.8,86.4,delivered
BOL-2026-000101,2026-07-05 19:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8189.0,8327.4,84.5,delivered
BOL-2026-000102,2026-06-09 12:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6574.7,6648.2,76.2,delivered
BOL-2026-000103,2026-07-27 19:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8210.4,8288.0,81.0,delivered
BOL-2026-000104,2026-06-30 20:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5849.4,5995.1,96.1,delivered
BOL-2026-000105,2026-07-25 07:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5661.5,5745.3,92.9,delivered
BOL-2026-000106,2026-06-01 14:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7920.6,8055.6,84.7,delivered
BOL-2026-000107,2026-06-24 17:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8417.3,8491.9,79.7,delivered
BOL-2026-000108,2026-07-24 18:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,8127.7,8257.2,83.1,delivered
BOL-2026-000109,2026-07-20 09:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8351.0,8433.7,82.0,delivered
BOL-2026-000110,2026-07-23 08:40:00,DAL,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5962.9,6042.6,89.7,delivered
BOL-2026-000111,2026-07-03 13:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4545.4,4590.2,81.9,delivered
BOL-2026-000112,2026-07-07 15:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7951.2,8004.5,74.9,delivered
BOL-2026-000113,2026-07-12 14:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4623.3,4684.1,89.2,delivered
BOL-2026-000114,2026-07-02 14:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5461.5,5548.2,83.0,delivered
BOL-2026-000115,2026-07-07 10:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5844.9,5967.5,90.4,delivered
BOL-2026-000116,2026-07-09 12:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7067.4,7180.6,95.6,delivered
BOL-2026-000117,2026-06-21 10:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6726.6,6862.6,89.3,delivered
BOL-2026-000118,2026-06-18 14:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4658.6,4707.2,83.2,delivered
BOL-2026-000119,2026-06-22 14:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5380.3,5447.1,87.6,delivered
BOL-2026-000120,2026-07-18 06:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8082.6,8201.2,92.6,delivered
BOL-2026-000121,2026-07-21 12:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7449.0,7615.5,92.4,delivered
BOL-2026-000122,2026-06-10 08:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6095.5,6172.0,87.9,delivered
BOL-2026-000123,2026-06-07 14:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4768.3,4826.0,86.9,delivered
BOL-2026-000124,2026-07-07 13:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6271.9,6416.4,93.4,delivered
BOL-2026-000125,2026-06-25 08:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8356.0,8486.1,94.6,delivered
BOL-2026-000126,2026-07-30 16:05:00,DAL,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6155.6,6239.0,90.1,delivered
BOL-2026-000127,2026-07-09 16:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6864.1,6977.2,96.6,delivered
BOL-2026-000128,2026-07-11 07:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5499.4,5558.3,83.8,delivered
BOL-2026-000129,2026-07-29 14:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6511.5,6616.2,83.3,delivered
BOL-2026-000130,2026-07-29 18:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5984.0,6028.2,76.4,delivered
BOL-2026-000131,2026-06-30 13:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6112.2,6166.4,79.7,delivered
BOL-2026-000132,2026-07-30 16:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4460.4,4501.7,80.6,delivered
BOL-2026-000133,2026-07-29 19:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6767.7,6811.9,74.5,delivered
BOL-2026-000134,2026-06-18 09:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6583.1,6710.7,88.1,delivered
BOL-2026-000135,2026-06-17 09:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4822.2,4879.1,77.1,delivered
BOL-2026-000136,2026-06-13 05:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5223.1,5301.7,81.8,delivered
BOL-2026-000137,2026-06-04 18:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6127.6,6223.6,82.7,delivered
BOL-2026-000138,2026-07-02 12:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7928.0,8073.0,86.5,delivered
BOL-2026-000139,2026-07-30 06:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4664.2,4729.5,91.1,delivered
BOL-2026-000140,2026-07-26 15:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6884.6,7017.6,88.0,delivered
BOL-2026-000141,2026-06-28 21:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4626.5,4724.8,90.8,delivered
BOL-2026-000142,2026-07-13 11:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5657.4,5754.6,84.9,delivered
BOL-2026-000143,2026-06-07 18:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4856.3,4935.4,96.2,delivered
BOL-2026-000144,2026-07-23 07:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7690.6,7836.0,87.4,delivered
BOL-2026-000145,2026-07-08 15:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7061.0,7216.9,92.0,delivered
BOL-2026-000146,2026-07-17 14:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6381.9,6459.8,77.7,delivered
BOL-2026-000147,2026-07-23 16:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6668.6,6822.3,93.4,delivered
BOL-2026-000148,2026-07-30 05:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5350.0,5394.1,78.3,delivered
BOL-2026-000149,2026-06-23 15:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6635.2,6743.2,83.6,delivered
BOL-2026-000150,2026-07-12 05:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6005.3,6065.3,82.2,delivered
BOL-2026-000151,2026-07-17 07:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4414.0,4462.7,76.0,delivered
BOL-2026-000152,2026-07-01 19:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4689.4,4768.0,84.3,delivered
BOL-2026-000153,2026-07-14 20:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5899.6,5975.0,88.4,quality_hold
BOL-2026-000154,2026-06-22 11:10:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,4715.9,4770.9,85.9,delivered
BOL-2026-000155,2026-06-10 12:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5722.9,5815.7,83.5,delivered
BOL-2026-000156,2026-07-01 19:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6665.6,6758.6,91.0,delivered
BOL-2026-000157,2026-06-09 05:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6178.4,6308.9,90.6,delivered
BOL-2026-000158,2026-07-02 08:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4538.2,4647.5,94.9,delivered
BOL-2026-000159,2026-06-16 10:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6392.8,6550.3,95.7,delivered
BOL-2026-000160,2026-07-17 09:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4946.0,5006.4,77.7,delivered
BOL-2026-000161,2026-06-06 20:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6130.3,6230.2,96.2,delivered
BOL-2026-000162,2026-07-12 15:50:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6216.4,6341.6,89.2,delivered
BOL-2026-000163,2026-07-10 16:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4361.7,4430.3,82.8,delivered
BOL-2026-000164,2026-07-13 07:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6695.4,6865.9,96.9,delivered
BOL-2026-000165,2026-06-03 11:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8318.2,8411.0,84.8,delivered
BOL-2026-000166,2026-07-23 07:40:00,BMT,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,8461.2,8562.5,86.6,delivered
BOL-2026-000167,2026-06-27 14:30:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6770.9,6924.6,92.9,delivered
BOL-2026-000168,2026-06-05 08:40:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7312.1,7410.2,89.8,delivered
BOL-2026-000169,2026-07-25 15:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5704.2,5850.6,97.2,delivered
BOL-2026-000170,2026-06-29 07:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5612.4,5678.6,77.1,delivered
BOL-2026-000171,2026-07-29 21:05:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5755.9,5814.7,82.7,delivered
BOL-2026-000172,2026-06-16 20:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4531.8,4639.1,94.3,delivered
BOL-2026-000173,2026-07-19 21:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6857.5,6944.8,88.3,delivered
BOL-2026-000174,2026-06-13 10:55:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7108.4,7205.0,79.7,delivered
BOL-2026-000175,2026-06-21 19:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,7677.1,7811.1,85.3,delivered
BOL-2026-000176,2026-06-27 19:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,6362.5,6431.2,84.0,delivered
BOL-2026-000177,2026-06-15 09:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,5796.2,5941.8,96.4,delivered
BOL-2026-000178,2026-07-06 08:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6132.1,6243.4,86.3,delivered
BOL-2026-000179,2026-06-07 12:35:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,5984.1,6047.4,83.5,delivered
BOL-2026-000180,2026-06-28 07:25:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,4626.1,4725.7,91.2,delivered
BOL-2026-000181,2026-06-11 06:20:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,ULSD,7773.8,7886.4,92.2,delivered
BOL-2026-000182,2026-07-11 07:00:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6559.9,6702.5,91.5,delivered
BOL-2026-000183,2026-06-08 14:15:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6005.2,6142.4,93.1,delivered
BOL-2026-000184,2026-06-08 20:45:00,HSC,APEX-HOU,APEX-PAYER,APEX-BILL,RBOB,6672.7,6816.3,91.2,delivered
